P1_Pos, P1_Cash, P1_Props, P2_Pos, P2_Cash, P2_Props
================================================== Simulated Game #0 ==================================================
12, 114, [18, 8, 20, 21, 2], 17, 260, [7, 10, 14, 15, 6, 11]
12, 114, [18, 8, 20, 21, 2], 21, 160, [7, 10, 14, 15, 6, 11]
17, 114, [18, 8, 20, 21, 2], 21, 160, [7, 10, 14, 15, 6, 11]
17, 114, [18, 8, 20, 21, 2], 5, 160, [7, 10, 14, 15, 6, 11]
18, 114, [18, 8, 20, 21, 2], 5, 160, [7, 10, 14, 15, 6, 11]
18, 114, [18, 8, 20, 21, 2], 9, 160, [7, 10, 14, 15, 6, 11]
21, 114, [18, 8, 20, 21, 2], 9, 160, [7, 10, 14, 15, 6, 11]
21, 114, [18, 8, 20, 21, 2], 12, 160, [7, 10, 14, 15, 6, 11]
6, 104, [18, 8, 20, 21, 2], 12, 160, [7, 10, 14, 15, 6, 11]
6, 104, [18, 8, 20, 21, 2], 14, 160, [7, 10, 14, 15, 6, 11]
7, 92, [18, 8, 20, 21, 2], 14, 160, [7, 10, 14, 15, 6, 11]
7, 92, [18, 8, 20, 21, 2], 17, 160, [7, 10, 14, 15, 6, 11]
12, 92, [18, 8, 20, 21, 2], 17, 160, [7, 10, 14, 15, 6, 11]
12, 92, [18, 8, 20, 21, 2], 19, 160, [7, 10, 14, 15, 6, 11]
19, 92, [18, 8, 20, 21, 2], 19, 160, [7, 10, 14, 15, 6, 11]
19, 92, [18, 8, 20, 21, 2], 20, 90, [7, 10, 14, 15, 6, 11]
20, 92, [18, 8, 20, 21, 2], 20, 90, [7, 10, 14, 15, 6, 11]
20, 92, [18, 8, 20, 21, 2], 0, 90, [7, 10, 14, 15, 6, 11]
0, 92, [18, 8, 20, 21, 2], 0, 90, [7, 10, 14, 15, 6, 11]
0, 92, [18, 8, 20, 21, 2], 7, 90, [7, 10, 14, 15, 6, 11]
7, 80, [18, 8, 20, 21, 2], 7, 90, [7, 10, 14, 15, 6, 11]
7, 80, [18, 8, 20, 21, 2], 8, 76, [7, 10, 14, 15, 6, 11]
14, 58, [18, 8, 20, 21, 2], 8, 76, [7, 10, 14, 15, 6, 11]
14, 58, [18, 8, 20, 21, 2], 9, 76, [7, 10, 14, 15, 6, 11]
19, 58, [18, 8, 20, 21, 2], 9, 76, [7, 10, 14, 15, 6, 11]
19, 58, [18, 8, 20, 21, 2], 12, 76, [7, 10, 14, 15, 6, 11]
0, 58, [18, 8, 20, 21, 2], 12, 76, [7, 10, 14, 15, 6, 11]
0, 58, [18, 8, 20, 21, 2], 18, 50, [7, 10, 14, 15, 6, 11]
3, 58, [18, 8, 20, 21, 2], 18, 50, [7, 10, 14, 15, 6, 11]
3, 58, [18, 8, 20, 21, 2], 19, 50, [7, 10, 14, 15, 6, 11]
10, 42, [18, 8, 20, 21, 2], 19, 50, [7, 10, 14, 15, 6, 11]
10, 42, [18, 8, 20, 21, 2], 1, 50, [7, 10, 14, 15, 6, 11]
12, 42, [18, 8, 20, 21, 2], 1, 50, [7, 10, 14, 15, 6, 11]
12, 42, [18, 8, 20, 21, 2], 6, 50, [7, 10, 14, 15, 6, 11]
18, 42, [18, 8, 20, 21, 2], 6, 50, [7, 10, 14, 15, 6, 11]
18, 42, [18, 8, 20, 21, 2], 12, 50, [7, 10, 14, 15, 6, 11]
21, 42, [18, 8, 20, 21, 2], 12, 50, [7, 10, 14, 15, 6, 11]
21, 42, [18, 8, 20, 21, 2], 19, 50, [7, 10, 14, 15, 6, 11]
4, 42, [18, 8, 20, 21, 2], 19, 50, [7, 10, 14, 15, 6, 11]
4, 42, [18, 8, 20, 21, 2], 2, 44, [7, 10, 14, 15, 6, 11]
7, 30, [18, 8, 20, 21, 2], 2, 44, [7, 10, 14, 15, 6, 11]
7, 30, [18, 8, 20, 21, 2], 6, 44, [7, 10, 14, 15, 6, 11]
8, 30, [18, 8, 20, 21, 2], 6, 44, [7, 10, 14, 15, 6, 11]
8, 30, [18, 8, 20, 21, 2], 7, 44, [7, 10, 14, 15, 6, 11]
15, 8, [18, 8, 20, 21, 2], 7, 44, [7, 10, 14, 15, 6, 11]
